usageKey,canonicalName,vernacularName,primaryImageUrl,secondaryImageUrl,primarySourceUrl,secondarySourceUrl,primaryGbifId,secondaryGbifId,primarySource,secondarySource,primaryLicense,secondaryLicense,primaryVisualRole,secondaryVisualRole,primaryExplicitVisualRoleField,secondaryExplicitVisualRoleField,sameImageUrl,sameGbifId,visualRoleReviewStatus,reviewerVisualVariety,reviewerNotes
2882619,Arctostaphylos columbiana,bristly bearberry,https://inaturalist-open-data.s3.amazonaws.com/photos/605531204/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605531237/original.jpg,https://www.gbif.org/occurrence/5938063997,https://www.gbif.org/occurrence/5938063997,5938063997,5938063997,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2882739,Gaylussacia baccata,black huckleberry,https://inaturalist-open-data.s3.amazonaws.com/photos/640706632/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/640710160/original.jpg,https://www.gbif.org/occurrence/6234235808,https://www.gbif.org/occurrence/6234235808,6234235808,6234235808,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2882753,Gaultheria procumbens,eastern teaberry,https://inaturalist-open-data.s3.amazonaws.com/photos/608013872/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605702791/original.jpg,https://www.gbif.org/occurrence/6129941053,https://www.gbif.org/occurrence/5938110753,6129941053,5938110753,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2882754,Gaultheria humifusa,alpine wintergreen,https://inaturalist-open-data.s3.amazonaws.com/photos/520266673/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/520266669/original.jpg,https://www.gbif.org/occurrence/5216253807,https://www.gbif.org/occurrence/5216253807,5216253807,5216253807,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882755,Gaultheria ovatifolia,western teaberry,https://inaturalist-open-data.s3.amazonaws.com/photos/630252790/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/637317324/original.jpg,https://www.gbif.org/occurrence/6185875192,https://www.gbif.org/occurrence/6195628365,6185875192,6195628365,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2882756,Gaultheria hispidula,creeping snowberry,https://inaturalist-open-data.s3.amazonaws.com/photos/630569481/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/630569534/original.jpg,https://www.gbif.org/occurrence/6185607504,https://www.gbif.org/occurrence/6185607504,6185607504,6185607504,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882758,Gaultheria shallon,salal,https://inaturalist-open-data.s3.amazonaws.com/photos/604660938/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605141524/original.jpg,https://www.gbif.org/occurrence/5938160287,https://www.gbif.org/occurrence/5938213310,5938160287,5938213310,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2882789,Harrimanella stelleriana,Alaska moss heather,https://inaturalist-open-data.s3.amazonaws.com/photos/676388199/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/676388216/original.jpg,https://www.gbif.org/occurrence/6422115983,https://www.gbif.org/occurrence/6422115983,6422115983,6422115983,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882793,Harrimanella hypnoides,moss heather,https://inaturalist-open-data.s3.amazonaws.com/photos/681968729/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/681968765/original.jpg,https://www.gbif.org/occurrence/6413248917,https://www.gbif.org/occurrence/6413248917,6413248917,6413248917,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882802,Arbutus menziesii,Pacific arbutus,https://inaturalist-open-data.s3.amazonaws.com/photos/605742188/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605742203/original.jpg,https://www.gbif.org/occurrence/5938092384,https://www.gbif.org/occurrence/5938092384,5938092384,5938092384,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
